id;nombres;apellidos;fecha_nacimiento;tipo_identificacion;numero_identificacion
1;overriding Account bandwidth;Artesanal;overriding;CC;Papelería
2;Rioja functionalities;Verde connect;bypass Pre-emptivo Normas;CE;Planificador
3;Bangladesh Borders PCI;Aragón;Productor Gris;PASAPORTE;Francia Datos
4;hacking Descentralizado;AI enhance;Australian;PASAPORTE;Canarias
5;enhance demanda;firewall Integración;Bicicleta;CC;Refinado generate
6;architect;Ordenador reboot Amarillo;Región hack;PASAPORTE;Producto copying
7;Rioja deliver Barbados;holística Avon;Agente Algodón dynamic;CC;Integrado desafío
8;Compatible Sol;Práctico quantify;Granito Palladium;CE;Jefe uniforme
9;primary Monitorizado;capa platforms;transmitting payment acceso;CC;Bulgaria funcionalidad Ladrillo
10;acompasada Vasco;Joyería;synthesize eyeballs;CC;Plástico Partida eyeballs
